"notation","title","description","id","title_en","description_en"
"1","Konzept vom Aufbau und von den Eigenschaften der Stoffe und ihrer Teilchen","Die Art, Anordnung und Wechselwirkung der Teilchen bestimmen die Struktur und die Eigenschaften eines Stoffes und können daher durch ein Basiskonzept inhaltlich kohärent beschrieben werden. Dabei werden Phänomene auf der makroskopischen Ebene und deren Deutung auf der submikroskopischen Ebene konsequent unterschieden. In diesem Basiskonzept werden vor allem die folgenden Gesichtspunkte systematisch betrachtet:","g9e",,
"1.1","Stoffeigenschaften,","","a3b",,
"1.2","Klassifizierung von Stoffen,","","z5t",,
"1.3","Verwendungsmöglichkeiten,","","z5g",,
"1.4","Atombau,","","t2v",,
"1.5","chemische Bindung,","","b9z",,
"1.6","Wechselwirkungen von Teilchen.","","u3t",,
"2","Konzept der chemischen Reaktion","Chemische Reaktionen werden in diesem Basiskonzept vor allem unter den folgenden Gesichtspunkten systematisch betrachtet:","x7v",,
"2.1","Kennzeichen chemischer Reaktionen,","","s5x",,
"2.2","Beeinflussung chemischer Reaktionen,","","d2x",,
"2.3","Umkehrbarkeit chemischer Reaktionen,","","h3d",,
"2.4","Donator-Akzeptor-Vorgänge.","","u4a",,
"3","Energiekonzept","Energetische Betrachtungen spielen eine wichtige Rolle zur Beschreibung von Teilchen- und Stoffumwandlungen. In diesem Zusammenhang sind vor allem die folgenden Aspekte bedeutsam:","v4q",,
"3.1","Energieformen und -umwandlung,","","x5t",,
"3.2","endotherme und exotherme Reaktionen,","","a9v",,
"3.3","Wirkung von Katalysatoren.","","z6e",,
