"notation","title","description","id"
S ,"Sachkompetenz","Die Chemie betrachtet Stoffe, deren Eigenschaften, Umwandlungen sowie Verwendungsmöglichkeiten phänomenologisch und zieht zu deren Erklärung Modelle auf der submikroskopischen Ebene heran. Zur Verknüpfung zwischen makroskopischer und submikroskopischer Ebene, aber auch zu deren Unterscheidung spielen chemiespezifische Repräsentationsformen als eigene Betrachtungsebene eine zentrale Rolle. Um dies zu verdeutlichen, wird den folgenden Standardformulierungen der übergeordnete Standard S 0 vorangestellt.",
S 0,"Beschreiben chemischer Sachverhalte","Die Lernenden beschreiben einen chemischen Sachverhalt sowohl auf makroskopischer und submikroskopischer Ebene als auch auf der Ebene der Repräsentationen.",
S 1,"Die makroskopische Ebene","Die Lernenden…",
S 1.1,"unterscheiden zwischen Reinstoffen und Stoffgemischen sowie Elementen und Verbindungen;",,
S 1.2,"kennen und nutzen Ordnungssysteme für Stoffe;",,
S 1.3,"nutzen Stoffeigenschaften, um Stoffe zu klassifizieren oder zu identifizieren;",,
S 1.4,"beschreiben den Zusammenhang von äußeren Bedingungen und Stoffeigenschaften;",,
S 1.5,"beschreiben chemische Reaktionen als Einheit von Stoff- und Energieumwandlungen;",,
S 1.6,"beschreiben die Umkehrbarkeit chemischer Reaktionen;",,
S 1.7,"beschreiben Möglichkeiten der Beeinflussung chemischer Reaktionen durch Variation von Reaktionsbedingungen;",,
S 1.8,"unterscheiden verschiedene Energieformen.",,s
S 2,"Die submikroskopische Ebene","Die Lernenden…",
S 2.1,"beschreiben modellhaft den submikroskopischen Bau ausgewählter Reinstoffe und Stoffgemische",,
S 2.2,"unterscheiden Atome, Ionen und Moleküle;",,
S 2.3,"beschreiben den Bau von Atomen mithilfe eines differenzierten Atommodells;",,
S 2.4,"unterscheiden und erklären Bindungstypen;",,
S 2.5,"beschreiben räumliche Strukturen von Teilchen auf Basis eines Bindungsmodells;",,
S 2.6,"erklären Wechselwirkungen zwischen Teilchen;",,
S 2.7,"begründen makroskopische Eigenschaften von Stoffen auf submikroskopischer Ebene;",,
S 2.8,"beschreiben Donator-Akzeptor-Vorgänge auf submikroskopischer Ebene;",,
S 2.9,"deuten Stoffumwandlungen hinsichtlich des Umbaus chemischer Bindungen.",,
S 3,"Die Ebene der Repräsentationen","Die Lernenden…",
S 3.1,"kennen Bedeutungen und Aussagen chemischer Symbole und Formeln und nutzen diese zur Beschreibung chemischer Sachverhalte;",,
S 3.2,"beschreiben chemische Reaktionen stöchiometrisch korrekt unter Verwendung der Formelsprache und stellen Reaktionsgleichungen auf;",,
S 3.3,"beschreiben den energetischen Verlauf chemischer Reaktionen.",,
E ,"Erkenntnisgewinnungskompetenz","FALTA",
E 1,"Erkenntnisse mithilfe von Experimenten gewinnen","Die Lernenden…",
E 1.1,"erkennen und entwickeln Fragestellungen und Hypothesen, die mithilfe chemischer Kenntnisse und Untersuchungen, insbesondere durch chemische Experimente, zu beantworten bzw. zu prüfen sind;",,
E 1.2,"planen Untersuchungen und Experimente zur Überprüfung von Vermutungen und Hypothesen und führen diese fachgerecht durch;",,
E 1.3,"vollziehen eigene und fremde Untersuchungen, qualitative und quantitative Experimente mit Blick auf die zu klärende Fragestellung nach;",,
E 1.4,"erheben relevante Daten im Rahmen von Untersuchungen insbesondere in chemischen Experimenten – auch unter Nutzung digitaler Werkzeuge;",,
E 1.5,"beschreiben in erhobenen oder recherchierten Daten Trends, Strukturen und Zusammenhänge, erklären diese und ziehen geeignete Schlussfolgerungen – auch unter Nutzung digitaler Werkzeuge.",,
E 2,"Modelle im Rahmen der Erkenntnisgewinnung nutzen","Die Lernenden…",
E 2.1,"unterscheiden zwischen Sach- und Denkmodellen;",,
E 2.2,"erkennen Modelle und Modellexperimente als notwendige Hilfsmittel zur Erklärung und Vorhersage von Vorgängen auf der submikroskopischen Ebene;",,
E 2.3,"beschreiben mithilfe von Struktur- und Bindungsmodellen den submikroskopischen Aufbau der Materie;",,
E 2.4,"wenden mathematische Modelle zur Beschreibung chemischer Sachverhalte an;",,
E 2.5,"wählen Modelle zur Erklärung chemischer Sachverhalte aus;",,
E 2.6,"diskutieren Aussagen und Passung von Modellen.",,
E 3,"Erkenntnisprozesse reflektieren","Die Lernenden…",
E 3.1,"kennen und unterscheiden deduktive und induktive Wege naturwissenschaftlicher Erkenntnisgewinnung;",,
E 3.2,"erkennen das Denken in Modellen und das Experimentieren als zentrale Methoden der Erkenntnisgewinnung in der Chemie;",,
E 3.3,"benennen Gemeinsamkeiten und Unterschiede zwischen Chemie, Physik und Biologie;",,
E 3.4,"beschreiben exemplarisch den wechselseitigen Einfluss von gesellschaftlich-sozialen Rahmenbedingungen und wissenschaftlichem Arbeiten;",,
