"notation","title","description","id","title_en","description_en"
"1","Sachkompetenz","Die Chemie betrachtet Stoffe, deren Eigenschaften, Umwandlungen sowie Verwendungsmöglichkeiten phänomenologisch und zieht zu deren Erklärung Modelle auf der submikroskopischen Ebene heran. Zur Verknüpfung zwischen makroskopischer und submikroskopischer Ebene, aber auch zu deren Unterscheidung spielen chemiespezifische Repräsentationsformen als eigene Betrachtungsebene eine zentrale Rolle. Um dies zu verdeutlichen, wird den folgenden Standardformulierungen der übergeordnete Standard S 0 vorangestellt.","g6g",,
"1.1","Die makroskopische Ebene","Die Lernenden…","q6v",,
"1.1.1","unterscheiden zwischen Reinstoffen und Stoffgemischen sowie Elementen und Verbindungen;","","q9x",,
"1.1.2","kennen und nutzen Ordnungssysteme für Stoffe;","","f7g",,
"1.1.3","nutzen Stoffeigenschaften, um Stoffe zu klassifizieren oder zu identifizieren;","","h2b",,
"1.1.4","beschreiben den Zusammenhang von äußeren Bedingungen und Stoffeigenschaften;","","s7a",,
"1.1.5","beschreiben chemische Reaktionen als Einheit von Stoff- und Energieumwandlungen;","","a4p",,
"1.1.6","beschreiben die Umkehrbarkeit chemischer Reaktionen;","","y9u",,
"1.1.7","beschreiben Möglichkeiten der Beeinflussung chemischer Reaktionen durch Variation von Reaktionsbedingungen;","","a3g",,
"1.1.8","unterscheiden verschiedene Energieformen.","","q4s",,
"1.2","Die submikroskopische Ebene","Die Lernenden…","r9v",,
"1.2.1","beschreiben modellhaft den submikroskopischen Bau ausgewählter Reinstoffe und Stoffgemische","","g6z",,
"1.2.2","unterscheiden Atome, Ionen und Moleküle;","","c3y",,
"1.2.3","beschreiben den Bau von Atomen mithilfe eines differenzierten Atommodells;","","y3a",,
"1.2.4","unterscheiden und erklären Bindungstypen;","","z2f",,
"1.2.5","beschreiben räumliche Strukturen von Teilchen auf Basis eines Bindungsmodells;","","a9p",,
"1.2.6","erklären Wechselwirkungen zwischen Teilchen;","","r5a",,
"1.2.7","begründen makroskopische Eigenschaften von Stoffen auf submikroskopischer Ebene;","","x4v",,
"1.2.8","beschreiben Donator-Akzeptor-Vorgänge auf submikroskopischer Ebene;","","q6b",,
"1.2.9","deuten Stoffumwandlungen hinsichtlich des Umbaus chemischer Bindungen.","","v3t",,
"1.3","Die Ebene der Repräsentationen","Die Lernenden…","x3t",,
"1.3.1","kennen Bedeutungen und Aussagen chemischer Symbole und Formeln und nutzen diese zur Beschreibung chemischer Sachverhalte;","","v3x",,
"1.3.2","beschreiben chemische Reaktionen stöchiometrisch korrekt unter Verwendung der Formelsprache und stellen Reaktionsgleichungen auf;","","x6y",,
